text;from;to;moment
Je pars de la ferte en ouche pour aller à ;la ferte en ouche;;
Je suis actuellement à la chapelle encherie et j aimerais partir à  samedi;la chapelle encherie;;samedi
 mardi soir depuis guipry messac;guipry messac;;mardi soir
Je veux aller de sougraigne à ;sougraigne;;
itinéraire de voyage de saze vers ;saze;;
Je suis actuellement à doulevant le chateau et j aimerais partir à  jeudi matin;doulevant le chateau;;jeudi matin
 depuis chamelet;chamelet;;
Comment aller de st vincent de cosse à   ;st vincent de cosse;;
Je prends le train la vallee mulatre ;la vallee mulatre;;
Je cherche le train le plus rapide pour faire egat ;egat;;
Peux tu m'orienter de boudeville à   ;boudeville;;
je partirais de pierrelatte pour aller à ;pierrelatte;;
j'aimerais partir de courseulles sur mer pour me rendre à ;courseulles sur mer;;
Le train westhouse marmoutier ;westhouse marmoutier;;
 samedi depuis molsheim;molsheim;;samedi
Trouve un train partant de st gal sur sioule et allant à ;st gal sur sioule;;
 depuis felce;felce;;
Je suis à alleyrat et je veux aller à ;alleyrat;;
Je cherche un train lagrauliere ;lagrauliere;;
le départ et l'arrivée de mon voyage sont cormoz et ;cormoz;;
itinéraire reaumur ;reaumur;;
trajet saix ;saix;;
je veux partir de st augustin pour ;st augustin;;
Peux tu me dire comment aller de thaon les vosges à   ;thaon les vosges;;
Ma provenance et ma destination sont montesquiou et ;montesquiou;;
je partirais de folgensbourg pour aller à ;folgensbourg;;
train canville la rocque ;canville la rocque;;
itinéraire jusqu'a  en partant de le castellard melan;le castellard melan;;
Je prends le train clermont en argonne ;clermont en argonne;;
itinéraire de voyage de chatel st germain vers ;chatel st germain;;
Comment aller de yversay à  jeudi;yversay;;jeudi
Emmène moi de st jean de bournay à ;st jean de bournay;;
je partirais de les martres de veyre pour aller à ;les martres de veyre;;
Je veux aller à  depuis montastruc la conseillere;montastruc la conseillere;;
Je souhaiterai avoir des informations sur le train rontignon  qui part mercredi soir;rontignon;;mercredi soir
Je cherche un trajet de bois ste marie à ;bois ste marie;;
Quel trajet pour la francheville ;la francheville;;
Nicolas part de villeperdrix pour rejoindre son amie Camille à  ;villeperdrix;;
lundi après midi  je voudrais aller de neuille pont pierre à ;neuille pont pierre;;lundi après-midi
Je veux me rendre à  en partant de chateau porcien;chateau porcien;;
Je veux aller à  depuis mercy le bas;mercy le bas;;
J'aurais besoin de savoir le chemin de mezel à  ;mezel;;
Je suis à mantilly et je veux aller à ;mantilly;;
J'irai bien à la gare de  depuis la gare de tiviers;tiviers;;
je veux partir de schwindratzheim pour ;schwindratzheim;;
De st etienne de st geoirs  j'aimerais voyager en train vers  en réservant mes billets en avance et en bénéficiant d'une offre promotionnelle pour les familles  Quel est le tarif le plus intéressant  ;st etienne de st geoirs;;
Indique moi le chemin pour  depuis rebreuve sur canche;rebreuve sur canche;;
samedi après midi acoua ;acoua;;samedi après-midi
Itiniréraire jusqu'a  depuis orbessan;orbessan;;
train st gauderic ;st gauderic;;
Comment aller de sausseuzemare en caux à ;sausseuzemare en caux;;
Je suis actuellement à betting et j aimerais partir à  samedi après midi;betting;;samedi après-midi
Je pars de st paul d oueil pour aller à  dimanche après midi;st paul d oueil;;dimanche après-midi
train tresserre  dans deux heures;tresserre;;dans deux heures
itinéraire genissac ;genissac;;
J'aimerais trouver un moyen de me rendre de ste croix de caderle à  ;ste croix de caderle;;
samedi après midi felines minervois ;felines minervois;;samedi après-midi
L'arrivée et le départ de mon voyage sont  et st gervais;st gervais;;
Je souhaiterai avoir des informations sur le train bonac irazein ;bonac irazein;;
Je pars de pouillac pour aller à ;pouillac;;
Je souhaiterai avoir des informations sur le train berlise ;berlise;;
Comment aller de vaunac à ;vaunac;;
Quel trajet pour bethencourt ;bethencourt;;
Je partirais de longemaison pour aller à ;longemaison;;
ils veulent aller de campagnolles jusqu'à ;campagnolles;;
Je souhaiterai avoir des informations sur le train wavrille ;wavrille;;
L'arrivée et le départ de mon voyage sont  et revel tourdan;revel tourdan;;
Je souhaiterai avoir des informations sur le train beville le comte  qui part dimanche;beville le comte;;dimanche
Quel trajet pour toutens ;toutens;;
Comment aller de achicourt à ;achicourt;;
Je pars de velles pour aller à ;velles;;
train vallenay  dans six heures;vallenay;;dans six heures
Le train epaney ;epaney;;
Je voudrais aller de boisse penchot à  dimanche matin;boisse penchot;;dimanche matin
Guide moi de gambier vers ;gambier;;
Quel trajet pour pellerey ;pellerey;;
Comment aller de beauval à ;beauval;;
Indique moi le chemin pour  depuis montagnol;montagnol;;
Antoine prend le train de soreze à  pour un congrès ;soreze;;
Comment aller à  depuis lapenche;lapenche;;
Peux tu me dire comment me rendre de la chapelle sur erdre à   ;la chapelle sur erdre;;
Pourrais tu m'indiquer comment aller de murianette à   ;murianette;;
J'aurais besoin de directions vers st vougay depuis   ;st vougay;;
Quel trajet pour valras plage ;valras plage;;
Je pars de entrevernes pour aller à ;entrevernes;;
 depuis fermanville;fermanville;;
Je prends le train haut valromey ;haut valromey;;
Je pars de les monts du roumois pour aller à  dans deux heures;les monts du roumois;;dans deux heures
Je suis actuellement à baives et j aimerais partir à  le mois prochain;baives;;le mois prochain
Le train poiseux ;poiseux;;
arrivée  et départ bavay;bavay;;
Je partirais de nieul le dolent pour aller à ;nieul le dolent;;
J'aurais besoin de directions pour aller de st coutant à  ;st coutant;;
Ma provenance et ma destination sont bois d ennebourg et ;bois d ennebourg;;
Quel est l'itinéraire entre aubepierre ozouer le repos et ;aubepierre ozouer le repos;;
Trouve le chemin pour  depuis velle le chatel ;velle le chatel;;
Je veux le trajet de marcilly et dracy à ;marcilly et dracy;;
Itinéraire courbesseaux ;courbesseaux;;
je vais à  depuis sevigny waleppe;sevigny waleppe;;
lundi matin brienon sur armancon ;brienon sur armancon;;lundi matin
Je suis à ammerschwihr et je souhaite me rendre à ;ammerschwihr;;
ils veulent aller de henvic jusqu'à ;henvic;;
Quel est l'itinéraire entre st brice sous ranes et ;st brice sous ranes;;
Indique moi le chemin pour  depuis crozes hermitage;crozes hermitage;;
Je prends le train ussy sur marne ;ussy sur marne;;
Le train la neuville les wasigny ;la neuville les wasigny;;
Depuis charentenay à ;charentenay;;
Je veux aller de st benoit à ;st benoit;;
Je cherche un train melisey ;melisey;;
L'arrivée et le départ de mon voyage sont  et saulgond;saulgond;;
Je pars de les salles pour aller à ;les salles;;
Je voudrais aller de villeneuve en retz à ;villeneuve en retz;;
ils veulent aller de porte des bonnevaux jusqu'à ;porte des bonnevaux;;
itinéraire jusqu'a  en partant de st luc;st luc;;
Comment aller de mainxe gondeville à  vendredi soir;mainxe gondeville;;vendredi soir
Je suis actuellement à st hymer et j aimerais partir à ;st hymer;;
Je prends le train st germain du puch  dimanche soir;st germain du puch;;dimanche soir
lento ;lento;;
Je cherche le train le plus rapide pour faire thouars ;thouars;;
Comment aller de sorgues à  dans trois heures;sorgues;;dans trois heures
Je suis actuellement à begard et j aimerais partir à  dimanche matin;begard;;dimanche matin
Je suis à le vauroux et je veux aller à ;le vauroux;;
ils veulent aller de annecy jusqu'à ;annecy;;
Je veux trouver un trajet de champagne à ;champagne;;
Je voudrais aller de villetrun à  demain matin;villetrun;;demain matin
je vais à  depuis veilly;veilly;;
itinéraire les premiers sapins ;les premiers sapins;;
Je suis actuellement à loire authion et j aimerais partir à ;loire authion;;
J'irai bien à la gare de  depuis la gare de la chapelle faucher;la chapelle faucher;;
Ma destination et ma provenance sont  et lasgraisses;lasgraisses;;
itinéraire de voyage de amboise vers ;amboise;;
Donne moi l'itinéraire pour aller à  en partant de maltot;maltot;;
Emmène moi de outarville à ;outarville;;
Je cherche un train st sorlin de morestel  jeudi matin;st sorlin de morestel;;jeudi matin
Claire prend le train de thenon à  pour assister à un concert ;thenon;;
J'irai bien à la gare de  depuis la gare de negreville;negreville;;
Itiniréraire jusqu'a  depuis landricourt;landricourt;;
Je veux aller à  depuis gevigney et mercey;gevigney et mercey;;
Je suis à cossaye et je souhaite me rendre à ;cossaye;;
Je pars de le detroit pour aller à ;le detroit;;
Quel est l'itinéraire entre st didier de la tour et ;st didier de la tour;;
Je pars de folligny pour aller à ;folligny;;
arrivée  et départ vernon;vernon;;
Je veux aller à  depuis st aubin d ecrosville;st aubin d ecrosville;;
Je cherche un train lison ;lison;;
Le train blancfosse ;blancfosse;;
demain soir  je vais à  depuis courcoue;courcoue;;demain soir
Itiniréraire jusqu'a  depuis durenque;durenque;;
Je pars de st manvieu norrey pour aller à ;st manvieu norrey;;
trajet bage dommartin ;bage dommartin;;
Guide moi de sevenans vers ;sevenans;;
Quel est l'itinéraire entre goetzenbruck et ;goetzenbruck;;
Je cherche le meilleur itinéraire pour aller de murat à  ;murat;;
Je prends le train alan ;alan;;
J'irai bien à la gare de  depuis la gare de sare;sare;;
Je cherche comment me rendre à st illiers la ville depuis  ;st illiers la ville;;
samedi fontaine de vaucluse ;fontaine de vaucluse;;samedi
Comment aller de wittelsheim à  dimanche matin;wittelsheim;;dimanche matin
lundi soir  je vais à  depuis pointis inard;pointis inard;;lundi soir
Depuis champlemy à ;champlemy;;
mardi matin  je voudrais aller de gujan mestras à ;gujan mestras;;mardi matin
je viens de grainville ymauville et je veux aller à ;grainville ymauville;;
Je pars de etaing pour aller à  dans six heures;etaing;;dans six heures
itinéraire divatte sur loire ;divatte sur loire;;
De jas à   comment rejoindre  ;jas;;
De lapenche à ;lapenche;;
Charlotte voyage de blanquefort à  pour des vacances en bord de mer ;blanquefort;;
mercredi après midi  je voudrais aller de blonville sur mer à ;blonville sur mer;;mercredi après-midi
le départ et l'arrivée de mon voyage sont pourrieres et ;pourrieres;;
jeudi après midi  je vais à  depuis peas;peas;;jeudi après-midi
Donne moi l'itinéraire pour aller à  en partant de bullainville;bullainville;;
Je souhaiterai avoir des informations sur le train montagne  qui part dimanche matin;montagne;;dimanche matin
Je suis actuellement à val maravel et j aimerais partir à  jeudi soir;val maravel;;jeudi soir
le mois prochain  je vais à  depuis froncles;froncles;;le mois prochain
De cloyes les trois rivieres à   j'aimerais savoir le chemin ;cloyes les trois rivieres;;
samedi après midi  je voudrais aller de gesnes en argonne à ;gesnes en argonne;;samedi après-midi
j'aimerais partir de stiring wendel pour me rendre à ;stiring wendel;;
arrivée  et départ st remy du nord;st remy du nord;;
Ma provenance et ma destination sont serquigny et ;serquigny;;
Je veux trouver un trajet de eaux puiseaux à ;eaux puiseaux;;
Quel est l'itinéraire entre droux et ;droux;;
Je suis actuellement à courcelles sapicourt et j aimerais partir à ;courcelles sapicourt;;
Je veux aller à  depuis nievroz;nievroz;;
courtefontaine ;courtefontaine;;
train villieu loyes mollon ;villieu loyes mollon;;
Donne moi l'itinéraire pour aller à  en partant de st savournin;st savournin;;
Je cherche un trajet de ste genevieve des bois à ;ste genevieve des bois;;
Ma destination et ma provenance sont  et friaize;friaize;;
Je souhaiterai avoir des informations sur le train bollene  qui part vendredi soir;bollene;;vendredi soir
je veux partir de buoux pour ;buoux;;
Je pars de baron pour aller à ;baron;;
Le train gourgancon ;gourgancon;;
Comment me rendre à  depuis aussurucq;aussurucq;;
le départ et l'arrivée de mon voyage sont montpinchon et ;montpinchon;;
Je suis actuellement à st maurice de lignon et j aimerais partir à  jeudi après midi;st maurice de lignon;;jeudi après-midi
Je veux aller de avesnes le sec à ;avesnes le sec;;
Je prends le train le fau ;le fau;;
je veux partir de maurupt le montois pour ;maurupt le montois;;
Je pars samedi matin de ste croix pour aller à ;ste croix;;samedi matin
itinéraire jusqu'a  en partant de st agnan;st agnan;;
Je suis à guenange et je veux aller à ;guenange;;
Je cherche le train le plus rapide pour faire ur  dans cinq heures;ur;;dans cinq heures
Je cherche un train sousceyrac en quercy  dans un moment;sousceyrac en quercy;;dans un moment
Itiniréraire jusqu'a  depuis hauts de bienne;hauts de bienne;;
Comment aller de st paul d espis à ;st paul d espis;;
gottesheim à ;gottesheim;;
Je prends le train mignovillard ;mignovillard;;
Pourrais tu me dire comment aller de val de dagne à   ;val de dagne;;
Quel est l'itinéraire entre tauriac et ;tauriac;;
dans une heure gan ;gan;;dans une heure
je viens de zegerscappel et je veux aller à ;zegerscappel;;
train notre dame du bec ;notre dame du bec;;
Peux tu m'orienter pour aller de le crestet à   ;le crestet;;
Quel trajet pour st julien sur bibost ;st julien sur bibost;;
Je pars de jarze villages pour aller à ;jarze villages;;
lundi soir  je vais à  depuis dambron;dambron;;lundi soir
dimanche  je vais à  depuis casteron;casteron;;dimanche
Je pars de satolas et bonce pour aller à ;satolas et bonce;;
Comment aller de port launay à  samedi matin;port launay;;samedi matin
Comment aller de vay à  samedi soir;vay;;samedi soir
itinéraire de voyage de vestric et candiac vers ;vestric et candiac;;
De bournand à   quel est le chemin le plus rapide  ;bournand;;
 depuis antheuil portes;antheuil portes;;
ferriere et lafolie ;ferriere et lafolie;;
castellare di mercurio ;castellare di mercurio;;
Je voudrais aller de andelarre à ;andelarre;;
train soncourt sur marne ;soncourt sur marne;;
Depuis varetz à ;varetz;;
Je pars demain matin de charbogne pour aller à ;charbogne;;demain matin
je partirais de le boulay pour aller à ;le boulay;;
Comment aller à  depuis sarceaux;sarceaux;;
Emmène moi de saulzoir à ;saulzoir;;
Je cherche un trajet de listrac medoc à  mardi soir;listrac medoc;;mardi soir
Je prends le train la ventrouze ;la ventrouze;;
La ligne sasseville ;sasseville;;
Je cherche un train vitre ;vitre;;
Léa part de maupas pour rejoindre son amie Manon à  ;maupas;;
Je cherche le train le plus rapide pour faire breconchaux ;breconchaux;;
Indique moi le chemin pour  depuis charols;charols;;
bolsenheim  lundi matin;bolsenheim;;lundi matin
Trouve un train partant de hampont et allant à ;hampont;;
Je veux aller de rauwiller à  mercredi matin;rauwiller;;mercredi matin
Emmène moi de fons à ;fons;;
Je cherche un trajet de villeconin à  samedi matin;villeconin;;samedi matin
itinéraire pernay ;pernay;;
Je quitte vicq sur mer pour ;vicq sur mer;;
Trouve le chemin pour  depuis peyriat ;peyriat;;
Je cherche le train le plus rapide pour faire plaine et vallees ;plaine et vallees;;
Je cherche un train fourchambault ;fourchambault;;
 depuis serent;serent;;
Peux tu m'indiquer comment aller de apremont à   ;apremont;;
Comment aller de moncoutant sur sevre à ;moncoutant sur sevre;;
Je cherche un train fenneviller  mardi soir;fenneviller;;mardi soir
La ligne hondevilliers ;hondevilliers;;
itinéraire de voyage de montier en l isle vers ;montier en l isle;;
Je suis actuellement à evellys et j aimerais partir à ;evellys;;
Quel est l'itinéraire entre sadirac et ;sadirac;;
itinéraire de voyage de rouesse vasse vers ;rouesse vasse;;
je vais à  depuis bezu st germain;bezu st germain;;
j'aimerais me rendre à  en quittant chasselay;chasselay;;
Je pars de quelaines st gault pour aller à ;quelaines st gault;;
 depuis l houmeau;l houmeau;;
le départ et l'arrivée de mon voyage sont charolles et ;charolles;;
Je cherche le chemin de st fort sur gironde à  ;st fort sur gironde;;
J'aimerais me rendre sur  en partant de usson;usson;;
mardi je partirais de belleville en beaujolais pour aller à ;belleville en beaujolais;;mardi
Je cherche le train le plus rapide pour faire hautes duyes  dans un moment;hautes duyes;;dans un moment
Je cherche un trajet de moon sur elle à ;moon sur elle;;
Depuis beaumetz à ;beaumetz;;
Je cherche un train mtsamboro ;mtsamboro;;
 jeudi matin depuis bouxieres sous froidmont;bouxieres sous froidmont;;jeudi matin
Comment puis je me rendre de accons à   ;accons;;
Quel trajet pour merinchal ;merinchal;;
Je voudrais aller de calvi à ;calvi;;
Comment aller de val d arry à ;val d arry;;
J'aurais besoin de directions vers ferrussac depuis  ;ferrussac;;
L'arrivée et le départ de mon voyage sont  et gundershoffen;gundershoffen;;
ils veulent aller de barcy jusqu'à ;barcy;;
itinéraire jusqu'a  en partant de paroy en othe;paroy en othe;;
Trouve un train partant de rahay et allant à ;rahay;;
J'aimerais me rendre sur  en partant de abbans dessous;abbans dessous;;
Comment aller à  depuis lepin le lac;lepin le lac;;
Je quitte villenave d ornon pour ;villenave d ornon;;
demain  je vais à  depuis mery;mery;;demain
itinéraire budeliere ;budeliere;;
Je pars de champs sur tarentaine marchal pour aller à  mardi;champs sur tarentaine marchal;;mardi
Comment aller de landean à ;landean;;
J'aurais besoin de directions vers ste bazeille depuis   ;ste bazeille;;
Je cherche un train ambres  dans un instant;ambres;;dans un instant
Je souhaiterai avoir des informations sur le train st front de pradoux ;st front de pradoux;;
je partirais de clavette pour aller à ;clavette;;
Je prends le train rochefort sur loire ;rochefort sur loire;;
Je cherche le train le plus rapide pour faire chariez ;chariez;;
Je veux aller de torcy à ;torcy;;
Je souhaiterai avoir des informations sur le train neuilly l hopital ;neuilly l hopital;;
Comment aller de le mesnil sur bulles à ;le mesnil sur bulles;;
Quel est l'itinéraire entre montauville et ;montauville;;
Guide moi de loubaresse vers ;loubaresse;;
De humbauville  je souhaite me rendre à  pour profiter des activités de montagne  Quel est le moyen de transport le plus rapide et le plus confortable pour rejoindre la station en hiver  ;humbauville;;
Je cherche le train le plus rapide pour faire pont sur sambre ;pont sur sambre;;
jeudi matin je partirais de boersch pour aller à ;boersch;;jeudi matin
Je cherche un trajet de les pilles à  mercredi après midi;les pilles;;mercredi après-midi
Indique moi le chemin pour  depuis st judoce;st judoce;;
Je veux aller de trocy en multien à ;trocy en multien;;
Je prends le train marcilly ;marcilly;;
La ligne cevins ;cevins;;
itinéraire val d arcomie ;val d arcomie;;
pierre de bresse  le mois prochain;pierre de bresse;;le mois prochain
Emmène moi de croix moligneaux à ;croix moligneaux;;
trajet les pavillons sous bois ;les pavillons sous bois;;
Je cherche un trajet de ste foy de peyrolieres à ;ste foy de peyrolieres;;
Allons à  depuis les esseintes;les esseintes;;
Je pars de st ignat pour aller à ;st ignat;;
Quel trajet pour auvilliers ;auvilliers;;
Je suis actuellement à oost cappel et j'aimerais partir à ;oost cappel;;
Je souhaiterai avoir des informations sur le train rue ;rue;;
Donne moi l'itinéraire pour aller à  en partant de chavannes sur reyssouze;chavannes sur reyssouze;;
Quel trajet pour valravillon ;valravillon;;
Je souhaiterai avoir des informations sur le train dagny lambercy ;dagny lambercy;;
itinéraire jusqu'a  en partant de saulmory villefranche;saulmory villefranche;;
Comment aller de hecq à ;hecq;;
Je voudrais aller de tersanne à  samedi soir;tersanne;;samedi soir
Je cherche un trajet de la bourgonce à ;la bourgonce;;
Comment aller de coueilles à  dans quatre heures;coueilles;;dans quatre heures
Comment aller de la chavatte à   ;la chavatte;;
Ma provenance et ma destination sont pleboulle et ;pleboulle;;
Je cherche le train le plus rapide pour faire la chapelle ;la chapelle;;
De villebon à ;villebon;;
arrivée  et départ treauville;treauville;;
Itinéraire st baudille et pipet ;st baudille et pipet;;
Comment rejoindre st felix depuis   ;st felix;;
Je pars de lagrave pour aller à ;lagrave;;
Je suis actuellement à jeuxey et j aimerais partir à ;jeuxey;;
La ligne tharoiseau ;tharoiseau;;
Je suis à ferel et je veux aller à ;ferel;;
Je cherche un train classun ;classun;;
Je cherche un train st caprais de bordeaux ;st caprais de bordeaux;;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de orignac et gare de ;orignac;;
Comment me rendre à  depuis gardefort;gardefort;;
Je pars de mouzillon pour aller à  dimanche soir;mouzillon;;dimanche soir
Quel trajet pour barbaira ;barbaira;;
Je quitte quintigny pour ;quintigny;;
le départ et l'arrivée de mon voyage sont usson en forez et ;usson en forez;;
Je cherche un trajet de reilhac à  vendredi;reilhac;;vendredi
Indique moi le chemin pour  depuis loches;loches;;
Comment rejoindre zaessingue depuis   ;zaessingue;;
trajet bousses ;bousses;;
Guide moi de gougenheim vers ;gougenheim;;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de saussey et gare de ;saussey;;
j'aimerais partir de buleon pour me rendre à ;buleon;;
Je pars de montgerain pour aller à ;montgerain;;
Je veux trouver un trajet de authumes à ;authumes;;
Donne moi l'itinéraire pour aller à  en partant de parthenay de bretagne;parthenay de bretagne;;
Pourrais tu me dire comment aller à gueugnon depuis   ;gueugnon;;
longny les villages ;longny les villages;;
Je veux trouver un trajet de beaussais sur mer à ;beaussais sur mer;;
jeudi après midi je partirais de fransart pour aller à ;fransart;;jeudi après-midi
je veux partir de landeleau pour ;landeleau;;
Comment me rendre à  depuis magny chatelard;magny chatelard;;
Je pars jeudi soir de janvilliers pour aller à ;janvilliers;;jeudi soir
Je cherche le train le plus rapide pour faire serviers et labaume ;serviers et labaume;;
Emmène moi de vertou à ;vertou;;
Je cherche un train aspet ;aspet;;
Julien part de bannes pour rejoindre son ami Victor à  ;bannes;;
frontignan de comminges à ;frontignan de comminges;;
Je cherche un train labastide rouairoux  mercredi après midi;labastide rouairoux;;mercredi après-midi
Je souhaiterai avoir des informations sur le train hennemont ;hennemont;;
je viens de semoussac et je veux aller à ;semoussac;;
Comment me rendre à  depuis listrac medoc;listrac medoc;;
Je cherche un trajet de betschdorf à  le mois prochain;betschdorf;;le mois prochain
jeudi  je voudrais aller de froges à ;froges;;jeudi
trajet la penne sur huveaune ;la penne sur huveaune;;
Trouve un train partant de la chapelle aux lys et allant à ;la chapelle aux lys;;
Je cherche le train le plus rapide pour faire nargis ;nargis;;
Quel est l'itinéraire entre la chatre langlin et ;la chatre langlin;;
Je cherche un trajet de st clement à ;st clement;;
Quel trajet pour villesequelande ;villesequelande;;
Ma destination et ma provenance sont  et vezinnes;vezinnes;;
Quel est l'itinéraire entre st florentin et ;st florentin;;
Allons à  depuis autreville;autreville;;
Pourrais tu me dire comment aller de villeneuve les sablons à   ;villeneuve les sablons;;
Je cherche comment me rendre de le coudray sur thelle à  ;le coudray sur thelle;;
Trouve le chemin pour  depuis cormost ;cormost;;
Pourrais tu me guider de lajoux à   ;lajoux;;
Je pars mardi de chauve pour aller à ;chauve;;mardi
Je pars de husseren les chateaux pour aller à ;husseren les chateaux;;
jeudi matin loivre ;loivre;;jeudi matin
j'aimerais me rendre à  en quittant obermodern zutzendorf;obermodern zutzendorf;;
Depuis goncelin à ;goncelin;;
Je veux me rendre à  en partant de le breuil en bessin;le breuil en bessin;;
de raon les leau à ;raon les leau;;
Saurais tu comment rejoindre oudan depuis   ;oudan;;
Emmène moi de rouans à ;rouans;;
Je cherche comment me rendre de st laurent à  ;st laurent;;
j'aimerais me rendre à  en quittant st aubin d aubigne;st aubin d aubigne;;
Donne moi l'itinéraire pour aller à  en partant de crepon;crepon;;
Je cherche le chemin pour aller de l oree d ecouves à  ;l oree d ecouves;;
Je veux trouver un trajet de samsons lion à ;samsons lion;;
Quel est l'itinéraire entre monterfil et ;monterfil;;
itinéraire maisonnay ;maisonnay;;
Je souhaiterai avoir des informations sur le train st phal ;st phal;;
Je partirais de sorrus pour aller à ;sorrus;;
je veux partir de parpeville pour ;parpeville;;
Quel trajet pour serres castet ;serres castet;;
Je voudrais aller de weyersheim à ;weyersheim;;
Je quitte beaumetz pour ;beaumetz;;
Peux tu m'expliquer comment aller de paley à   ;paley;;
Ma destination et ma provenance sont  et pietra di verde;pietra di verde;;
j'aimerais me rendre à  en quittant corte;corte;;
train redene ;redene;;
Je souhaiterai avoir des informations sur le train montclera ;montclera;;
ils veulent aller de crozes hermitage jusqu'à ;crozes hermitage;;
Je prends le train desaignes  demain matin;desaignes;;demain matin
Le train beaulieu sur loire ;beaulieu sur loire;;
J'aimerais me rendre sur  en partant de giriviller;giriviller;;
Quel est l'itinéraire entre souleuvre en bocage et ;souleuvre en bocage;;
Je voudrais aller de merignat à  dans deux heures;merignat;;dans deux heures
train noyal chatillon sur seiche ;noyal chatillon sur seiche;;
Je pars de vaudeville pour aller à ;vaudeville;;
arrivée  et départ franqueville;franqueville;;
Allons à  depuis mauzac et grand castang;mauzac et grand castang;;
Je veux aller de les planches en montagne à ;les planches en montagne;;
Je cherche un train montlouis ;montlouis;;
Je suis à corbeil essonnes et je souhaite me rendre à ;corbeil essonnes;;
j'aimerais partir de asasp arros pour me rendre à ;asasp arros;;
arrivée  et départ russ;russ;;
Je souhaiterai avoir des informations sur le train rinxent ;rinxent;;
Pourrais tu me dire comment aller de laqueuille à   ;laqueuille;;
Le train montceaux les provins ;montceaux les provins;;
Élise part de hermelinghen pour rejoindre son ami Louis à  ;hermelinghen;;
Je veux aller à  depuis selommes;selommes;;
Le train st epain ;st epain;;
Je souhaiterai avoir des informations sur le train malay ;malay;;
Je pars de esparron de verdon pour aller à ;esparron de verdon;;
Je prends le train doudeauville en vexin ;doudeauville en vexin;;
Je quitte st martin de la cluze pour ;st martin de la cluze;;
je veux partir de saulx les champlon pour ;saulx les champlon;;
Emmène moi de bourgogne fresne à ;bourgogne fresne;;
Je cherche un train treis sants en ouche ;treis sants en ouche;;
 depuis st saturnin;st saturnin;;
De couladere  je souhaite voyager en train vers  en profitant du charme des paysages alsaciens ;couladere;;
Comment aller de pierrefitte en cinglais à ;pierrefitte en cinglais;;
train guerpont  samedi;guerpont;;samedi
Je pars de epaux bezu pour aller à ;epaux bezu;;
L'arrivée et le départ de mon voyage sont  et autrans meaudre en vercors;autrans meaudre en vercors;;
J'aimerais me rendre sur  en partant de drevant;drevant;;
Le train domfaing ;domfaing;;
train villemotier ;villemotier;;
Comment aller de quatremare à   ;quatremare;;
Je me rends à  en partant de bouleternere;bouleternere;;
J'aurais besoin de directions vers chantilly depuis   ;chantilly;;
Emmène moi de montaigut sur save à ;montaigut sur save;;
Je suis actuellement à arrout et j aimerais partir à ;arrout;;
Je veux aller de st gervais à  dimanche matin;st gervais;;dimanche matin
Je pars de billy les chanceaux pour aller à ;billy les chanceaux;;
Je quitte lichos pour ;lichos;;
Le train labastide beauvoir ;labastide beauvoir;;
train st haon  dans deux heures;st haon;;dans deux heures
jeudi matin je partirais de oreilla pour aller à ;oreilla;;jeudi matin
Ma destination et ma provenance sont  et magstatt le bas;magstatt le bas;;
 maintenant depuis saumur;saumur;;maintenant
Je suis à arget et je veux aller à ;arget;;
Je voudrais aller de wicres à ;wicres;;
Itiniréraire jusqu'a  depuis martrois;martrois;;
Marie part de st pierre en auge pour se rendre à  et voir sa grand mère ;st pierre en auge;;
Je veux aller de bleigny le carreau à ;bleigny le carreau;;
Ma destination et ma provenance sont  et chauffours;chauffours;;
L'arrivée et le départ de mon voyage sont  et hondainville;hondainville;;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de pouzolles et gare de ;pouzolles;;
je viens de koungou et je veux aller à ;koungou;;
Je veux le trajet de azzana à ;azzana;;
Je suis actuellement à varinfroy et j aimerais partir à ;varinfroy;;
Je cherche un trajet de martigny les gerbonvaux à ;martigny les gerbonvaux;;
Trouve un train partant de gommersdorf et allant à ;gommersdorf;;
Je suis actuellement à le claon et j aimerais partir à ;le claon;;
Comment aller de villers farlay à ;villers farlay;;
de st jean cap ferrat à ;st jean cap ferrat;;
Le train longpont ;longpont;;
arrivée  et départ wasquehal;wasquehal;;
trajet boissy le sec ;boissy le sec;;
Je pars de laboissiere en santerre pour aller à  dans trois heures;laboissiere en santerre;;dans trois heures
Je veux le trajet de formentin à ;formentin;;
Je veux aller à  depuis hyeres;hyeres;;
Quel est l'itinéraire entre saligny et ;saligny;;
Je suis à st vincent rive d olt et je souhaite me rendre à ;st vincent rive d olt;;
je veux partir de la chailleuse pour ;la chailleuse;;
Quel trajet pour neuilly crimolois ;neuilly crimolois;;
itinéraire de voyage de lassales vers ;lassales;;
Je cherche un trajet de st pierre laval à ;st pierre laval;;
Depuis querenaing à ;querenaing;;
le cabanial ;le cabanial;;
je partirais de st germain les buxy pour aller à ;st germain les buxy;;
Je prends le train coincy ;coincy;;
Indique moi le chemin pour  depuis curciat dongalon;curciat dongalon;;
train camparan ;camparan;;
Je veux aller à  depuis chire en montreuil;chire en montreuil;;
laurie ;laurie;;
Depuis pargny filain à ;pargny filain;;
Peux tu m'orienter vers beaufort en santerre depuis   ;beaufort en santerre;;
blaignan prignac ;blaignan prignac;;
